"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SVN","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",14.7984375669212,
"SVN","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",-8.19851034799155,
"SVN","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",-6.72258373087527,
"SVN","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",-14.938977872687,
"SVN","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",5.0118120460857,
"SVN","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-50,
"EA17","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",2.88878037149068,
"EA17","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",27.3166399459799,
"EA17","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",-17.2007361857092,
"EA17","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",22.1663314662154,
"EA17","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-16.1102561864116,
"EA17","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-63.5542847847207,
"OECD","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",2.70081058108903,
"OECD","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",5.13223315867934,
"OECD","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",-4.67522479905324,
"OECD","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",4.82538993606222,
"OECD","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-6.63189582424689,
"OECD","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-52.5601441352125,
